atletas.nome;atletas.rodada_id;atletas.posicao_id;atletas.status_id;atletas.preco_num;atletas.clube.id.full.name;confronto.atual;sede.rodada.atual;classificacao_F;classificacao;;;;Bom ;Excelente;Ruim
Matheus Ferraz Pereira;29;zag;Provável;7.23;América-MG;Atlético-MG;casa;bom;bom;;;Classe real;54;21;178
Adilson Dias Batista;29;tec;Provável;9.6;América-MG;Atlético-MG;casa;bom;bom;;;Acertos;10;2;154
Gerson Alencar de Lima Junior;29;mei;Provável;3.5;América-MG;Atlético-MG;casa;ruim;ruim;;;;;;
Leandro Donizete Gonçalves da Silva;29;mei;Provável;1.17;América-MG;Atlético-MG;casa;ruim;ruim;;;;;;
Luan Michel;29;ata;Provável;8.77;América-MG;Atlético-MG;casa;ruim;ruim;;;;;;
Carlos Emiliano Pereira;29;lat;Provável;12.55;América-MG;Atlético-MG;casa;ruim;bom;;;;;;
João Ricardo Riedi;29;gol;Provável;7.63;América-MG;Atlético-MG;casa;ruim;bom;;;;;;
Adilson dos Anjos Oliveira;29;mei;Provável;8.34;América-MG;Atlético-MG;casa;ruim;ruim;;;;;;
Ruy Franco de Almeida Junior;29;mei;Provável;4.7;América-MG;Atlético-MG;casa;excelente;bom;;;;;;
Messias Rodrigues da Silva Júnior;29;zag;Provável;8.98;América-MG;Atlético-MG;casa;ruim;bom;;;;;;
Aderlan de Lima Silva;29;lat;Provável;5.03;América-MG;Atlético-MG;casa;ruim;bom;;;;;;
Matheus Leonardo Sales Cardoso;29;mei;Provável;3.71;América-MG;Atlético-MG;casa;ruim;ruim;;;;;;
Fábio Santos Romeu;29;lat;Provável;7.01;Atlético-MG;América-MG;casa;ruim;ruim;;;;;;
Ricardo de Oliveira;29;ata;Provável;11.64;Atlético-MG;América-MG;casa;bom;ruim;;;;;;
Adilson Warken;29;mei;Provável;6.59;Atlético-MG;América-MG;casa;ruim;ruim;;;;;;
Victor Leandro Bagy;29;gol;Provável;13.47;Atlético-MG;América-MG;casa;bom;excelente;;;;;;
Elias Mendes Trindade;29;mei;Provável;6.82;Atlético-MG;América-MG;casa;ruim;ruim;;;;;;
Patric Cabral Lalau;29;lat;Provável;4.21;Atlético-MG;América-MG;casa;ruim;ruim;;;;;;
Luan Madson Gedeão De Paiva;29;ata;Provável;14.87;Atlético-MG;América-MG;casa;ruim;ruim;;;;;;
Juan Ramón  Cazares Sevillano;29;mei;Provável;10.63;Atlético-MG;América-MG;casa;bom;ruim;;;;;;
Gabriel Costa França;29;zag;Provável;6.31;Atlético-MG;América-MG;casa;ruim;ruim;;;;;;
Iago Justen Maidana Martins;29;zag;Provável;4.69;Atlético-MG;América-MG;casa;ruim;ruim;;;;;;
Yimmi Javier Chará Zamora;29;ata;Provável;9.24;Atlético-MG;América-MG;casa;ruim;ruim;;;;;;
Thiago Larghi;29;tec;Provável;11.76;Atlético-MG;América-MG;casa;ruim;ruim;;;;;;
Paulo André Cren Benini;29;zag;Provável ;7.28;Atlético-PR;Sport;casa;ruim;bom;;;;;;
Jonathan Cícero Moreira;29;lat;Provável ;9.39;Atlético-PR;Sport;casa;bom;ruim;;;;;;
Thiago Heleno Henrique Ferreira;29;zag;Provável ;10.39;Atlético-PR;Sport;casa;ruim;excelente;;;;;;
Aderbar Melo dos Santos Neto;29;gol;Provável ;10.45;Atlético-PR;Sport;casa;bom;bom;;;;;;
Marcelo Cirino da Silva;29;ata;Provável ;6.29;Atlético-PR;Sport;casa;bom;ruim;;;;;;
Pablo Felipe Teixeira;29;ata;Provável ;11.46;Atlético-PR;Sport;casa;ruim;ruim;;;;;;
Maycon Vinícius Ferreira da Cruz;29;mei;Provável ;10.95;Atlético-PR;Sport;casa;bom;ruim;;;;;;
Luis Oscar González;29;mei;Provável ;4.5;Atlético-PR;Sport;casa;ruim;ruim;;;;;;
Raphael Cavalcante Veiga;29;mei;Provável ;7.92;Atlético-PR;Sport;casa;ruim;bom;;;;;;
Renan Augusto Lodi dos Santos;29;lat;Provável ;4.74;Atlético-PR;Sport;casa;bom;bom;;;;;;
Tiago Retzlaff Nunes;29;tec;Provável ;11.09;Atlético-PR;Sport;casa;ruim;bom;;;;;;
Bruno Guimarães Rodriguez Moura;29;mei;Provável ;6.37;Atlético-PR;Sport;casa;ruim;ruim;;;;;;
Nilton Ferreira Júnior;29;mei;Dúvida;5.06;Bahia;Paraná ;casa;ruim;ruim;;;;;;
Bruno Vieira do Nascimento;29;lat;Provável;4.6;Bahia;Paraná ;casa;ruim;bom;;;;;;
Gilberto Oliveira Souza Júnior;29;ata;Provável;13.42;Bahia;Paraná ;casa;bom;ruim;;;;;;
Enderson Alves Moreira;29;tec;Provável;11.32;Bahia;Paraná ;casa;bom;bom;;;;;;
José  ÉlberPimentel da Silva;29;mei;Provável;8.08;Bahia;Paraná ;casa;ruim;excelente;;;;;;
Douglas Ricardo Grolli;29;zag;Provável;3.23;Bahia;Paraná ;casa;ruim;bom;;;;;;
Douglas Alan Schuck Friedrich;29;gol;Provável;5.37;Bahia;Paraná ;casa;ruim;excelente;;;;;;
Lucas Fonseca da Silva;29;zag;Provável;7.53;Bahia;Paraná ;casa;bom;ruim;;;;;;
José Rafael Vivian;29;mei;Provável;18.94;Bahia;Paraná ;casa;ruim;bom;;;;;;
Leonardo Pinheiro da Conceição;29;lat;Provável;9.51;Bahia;Paraná ;casa;bom;ruim;;;;;;
Flávio Medeiros da Silva;29;mei;Dúvida;3.07;Bahia;Paraná ;casa;ruim;ruim;;;;;;
Gregore de Magalhães da Silva;29;mei;Provável;7.79;Bahia;Paraná ;casa;ruim;ruim;;;;;;
Eric dos Santos Rodrigues;29;mei;Provável;6.49;Bahia;Paraná ;casa;ruim;bom;;;;;;
Gilson Gomes do Nascimento;29;lat;Provável;8.76;Botafogo;Ceará ;fora;ruim;excelente;;;;;;
Rodrigo Pimpão Viana;29;ata;Dúvida;4.32;Botafogo;Ceará ;fora;ruim;ruim;;;;;;
Welker Marçal de Almeida;29;ata;Provável;7.08;Botafogo;Ceará ;fora;ruim;ruim;;;;;;
Rodrigo Oliveira Lindoso;29;mei;Provável;9.91;Botafogo;Ceará ;fora;ruim;ruim;;;;;;
Renato Vieira Rodrigues;29;mei;Dúvida;4.97;Botafogo;Ceará ;fora;ruim;ruim;;;;;;
Erik Nascimento Lima;29;ata;Dúvida;2.66;Botafogo;Ceará ;fora;ruim;ruim;;;;;;
Jean Carlos de Souza Irmer;29;mei;Dúvida;5.24;Botafogo;Ceará ;fora;ruim;ruim;;;;;;
Saulo Ferreira Silva Nascimento;29;gol;Provável;3.83;Botafogo;Ceará ;fora;ruim;excelente;;;;;;
Igor Rabello da Costa;29;zag;Provável;11.08;Botafogo;Ceará ;fora;ruim;bom;;;;;;
Luiz Fernando Moraes dos Santos;29;mei;Provável;4.81;Botafogo;Ceará ;fora;ruim;ruim;;;;;;
Márcio Almeida de Oliveira;29;lat;Provável;6.7;Botafogo;Ceará ;fora;ruim;ruim;;;;;;
Marcelo da Conceição Benevenuto Malaquias;29;zag;Provável;6.68;Botafogo;Ceará ;fora;ruim;bom;;;;;;
José Ricardo Mannarino;29;tec;Provável;9.31;Botafogo;Ceará ;fora;ruim;bom;;;;;;
Gustavo Costa da Silva Machado;29;mei;Provável;4.46;Botafogo;Ceará ;fora;ruim;ruim;;;;;;
Edimo Ferreira Campos;29;mei;Provável;3.01;Ceará;Botafogo;casa;ruim;ruim;;;;;;
Tiago dos Santos Alves;29;zag;Provável;5.67;Ceará;Botafogo;casa;ruim;ruim;;;;;;
Felipe Azevedo dos Santos;29;ata;Provável;5.28;Ceará;Botafogo;casa;ruim;ruim;;;;;;
Pedro Julião Azevedo Junior;29;ata;Provável;5.26;Ceará;Botafogo;casa;ruim;ruim;;;;;;
Anderson Felipe Marques Pires;29;gol;Provável;12.29;Ceará;Botafogo;casa;ruim;bom;;;;;;
Luiz Carlos Cirne Lima de Lorenzi;29;tec;Provável;8.2;Ceará;Botafogo;casa;ruim;ruim;;;;;;
Samuel xavier Brito;29;lat;Provável;6.49;Ceará;Botafogo;casa;ruim;bom;;;;;;
Eduardo Schroeder Brock;29;zag;Provável;5.88;Ceará;Botafogo;casa;ruim;bom;;;;;;
Calyson Rubens Santiago Rosa;29;mei;Provável;2.34;Ceará;Botafogo;casa;ruim;ruim;;;;;;
Richardson Fernandes dos Santos;29;mei;Provável;6.47;Ceará;Botafogo;casa;ruim;ruim;;;;;;
Arthur Mendonça  Cabral;29;ata;Provável;3.36;Ceará;Botafogo;casa;ruim;ruim;;;;;;
Felipe Jonatan Rocha Andrade;29;lat;Provável;3.69;Ceará;Botafogo;casa;ruim;excelente;;;;;;
William José de Souza;29;mei;Provável;4.0;Chapecoense;Vitória ;casa;ruim;ruim;;;;;;
Carlos Eduardo Santos Oliveira;29;lat;Provável;6.93;Chapecoense;Vitória ;casa;bom;ruim;;;;;;
Douglas Silva Bacelar;29;zag;Provável;7.57;Chapecoense;Vitória ;casa;ruim;ruim;;;;;;
Vinicius Santos Silva;29;ata;Provável;3.16;Chapecoense;Vitória ;casa;bom;ruim;;;;;;
Leandro Marcos Pereira;29;ata;Provável;6.81;Chapecoense;Vitória ;casa;bom;ruim;;;;;;
Rafael Thyere Albuquerque Marques;29;zag;Provável;4.13;Chapecoense;Vitória ;casa;ruim;ruim;;;;;;
Jandrei Chitolina Carniel;29;gol;Provável;4.91;Chapecoense;Vitória ;casa;ruim;ruim;;;;;;
Gustavo Bonatto Barreto;29;mei;Provável;1.36;Chapecoense;Vitória ;casa;ruim;ruim;;;;;;
Bruno de Jesus Pacheco;29;lat;Provável;6.79;Chapecoense;Vitória ;casa;ruim;ruim;;;;;;
Émerson Cris Hartkopp;29;tec;Provável;8.04;Chapecoense;Vitória ;casa;ruim;ruim;;;;;;
Yann Del Pino Rolim;29;mei;Provável;3.24;Chapecoense;Vitória ;casa;ruim;ruim;;;;;;
Agustín Doffo;29;mei;Provável;4.84;Chapecoense;Vitória ;casa;ruim;excelente;;;;;;
Jadson Rodrigues da Silva;29;mei;Provável;7.07;Corinthians;Santos ;fora;ruim;ruim;;;;;;
Cássio Ramos;29;gol;Provável;9.56;Corinthians;Santos ;fora;bom;ruim;;;;;;
Fagner Conserva Lemos;29;lat;Provável;10.43;Corinthians;Santos ;fora;ruim;ruim;;;;;;
Henrique Adriano Buss;29;zag;Provável;9.02;Corinthians;Santos ;fora;ruim;ruim;;;;;;
Ralf de Souza Telles;29;mei;Provável;7.51;Corinthians;Santos ;fora;ruim;ruim;;;;;;
Danilo Fernando Avelar;29;lat;Provável;5.89;Corinthians;Santos ;fora;ruim;ruim;;;;;;
Clayson Henrique da Silva Vieira;29;ata;Provável;8.78;Corinthians;Santos ;fora;ruim;ruim;;;;;;
Angel Rodrigo Romero Villamayor ;29;ata;Provável;9.83;Corinthians;Santos ;fora;ruim;ruim;;;;;;
Jair Ventura;29;tec;Provável;10.17;Corinthians;Santos ;fora;ruim;ruim;;;;;;
Douglas Augusto Soares Gomes;29;mei;Provável;4.06;Corinthians;Santos ;fora;ruim;ruim;;;;;;
Mateus da Silva Vital Assunção;29;mei;Provável;5.09;Corinthians;Santos ;fora;ruim;ruim;;;;;;
Leonardo Rodrigues dos Santos;29;zag;Provável;2.49;Corinthians;Santos ;fora;ruim;ruim;;;;;;
Luis Antônio Venker de Menezes;29;tec;Provável;10.35;Cruzeiro;Vasco ;fora;ruim;ruim;;;;;;
Fábio Deivson Lopes Maciel;29;gol;Provável;12.23;Cruzeiro;Vasco ;fora;bom;ruim;;;;;;
Henrique Pacheco de Lima;29;mei;Provável;7.97;Cruzeiro;Vasco ;fora;ruim;ruim;;;;;;
Thiago Neves Augusto;29;mei;Provável;8.84;Cruzeiro;Vasco ;fora;ruim;ruim;;;;;;
Édson Menndes Guimarães;29;lat;Provável;7.79;Cruzeiro;Vasco ;fora;ruim;ruim;;;;;;
Egídio de Araújo Pereira  Júnior ;29;lat;Provável;9.66;Cruzeiro;Vasco ;fora;bom;ruim;;;;;;
Leonardo Renan Simões de Lacerda;29;zag;Provável;7.17;Cruzeiro;Vasco ;fora;ruim;ruim;;;;;;
Anderson Vital da Silva;29;zag;Provável;11.2;Cruzeiro;Vasco ;fora;bom;ruim;;;;;;
Róbson Michael Signorini;29;mei;Provável;5.76;Cruzeiro;Vasco ;fora;ruim;ruim;;;;;;
Hernán Barcos;29;ata;Provável;6.82;Cruzeiro;Vasco ;fora;ruim;ruim;;;;;;
Alejandro Ariel Cabral;29;mei;Provável;5.49;Cruzeiro;Vasco ;fora;ruim;ruim;;;;;;
Giorgian Daniel de Arrascaeta Benedetti;29;mei;Provável;15.79;Cruzeiro;Vasco ;fora;bom;ruim;;;;;;
Dorival Silvestre Júnior;29;tec;Provável ;15.19;Flamengo;Fluminense ;casa;bom;bom;;;;;;
Luiz Rhodolfo Dini Gaioto;29;zag;Dúvida;7.6;Flamengo;Fluminense ;casa;ruim;bom;;;;;;
Éverton Augusto de Barros Ribeiro;29;mei;Provável ;8.42;Flamengo;Fluminense ;casa;ruim;bom;;;;;;
Réver Humberto Alves Araújo;29;zag;Dúvida;15.62;Flamengo;Fluminense ;casa;ruim;bom;;;;;;
Marcos Rogério Ricci Lopes;29;lat;Provável ;3.9;Flamengo;Fluminense ;casa;ruim;ruim;;;;;;
Gustavo Leonardo Cuellar Gallego;29;mei;Provável ;10.28;Flamengo;Fluminense ;casa;bom;bom;;;;;;
César Bernardo Dutra;29;gol;Provável ;4.77;Flamengo;Fluminense ;casa;ruim;bom;;;;;;
Fernando Uribe Hincapião;29;ata;Provável ;10.01;Flamengo;Fluminense ;casa;ruim;excelente;;;;;;
Victor Vinícius  Coelho dos Santos;29;ata;Provável ;15.28;Flamengo;Fluminense ;casa;ruim;bom;;;;;;
Renê Rodrigues Martins;29;lat;Provável ;15.02;Flamengo;Fluminense ;casa;ruim;bom;;;;;;
Willian Souza Arão da Silva;29;mei;Provável ;4.72;Flamengo;Fluminense ;casa;ruim;ruim;;;;;;
Leonardo Campos Duarte da Silva;29;zag;Provável ;10.9;Flamengo;Fluminense ;casa;ruim;excelente;;;;;;
Lucas Tolentino Coelho de Lima;29;mei;Provável ;21.3;Flamengo;Fluminense ;casa;ruim;ruim;;;;;;
Júlio CésarJacobi;29;gol;Provável;4.28;Fluminense;Flamengo ;fora;ruim;ruim;;;;;;
